,헤드라인,레이블
1411,"삼성전자, 올해 석박사 1000여명 뽑는다",1.0
1412,"삼성전자, 연내 반도체·AI 분야 석·박사 500명 채용",1.0
1413,"삼성전자, 초프리미엄 기능에 디자인까지 잡았다...'뉴 셰프컬렉션' 냉장고 출...",-1.0
1414,"""세상에 단 하나""…삼성 냉장고에 마세라티 도장 장인이 떴다",-1.0
1415,"""내·외관 내 맘대로 조합""… 삼성 '뉴 셰프컬렉션 냉장고'",-1.0
1416,"삼성, 밀레니얼 세대 공략…국내 최고가 냉장고 내놨다",-1.0
1417,"""냉장고 안팎 모두 내맘대로 바꾼다"" 삼성 뉴 셰프컬렉션 냉장고 출시",-1.0
1418,삼성의 ‘기술과외’… K-진단키트 생산성 70% 껑충,1.0
1419,"삼성디스플레이, ‘13조 투자’ QD 내년 본격 양산",1.0
1420,"삼성전자, 게임·동시작업에 최적화 SSD출시",1.0
1421,상반기 몸집 가장 많이 불린 상장사는 삼성바이오,1.0
1422,삼성전자의 힘… 석박사 1000명 채용 ‘역대 최대’,1.0
1423,[경제 브리핑] 2분기 브랜드가치 1위 ‘삼성 갤럭시’,1.0
1424,공격적인 인재채용 나선 삼성..'역대급 채용' 예고,1.0
1425,‘미래 준비’ 나선 삼성전자는 ‘역대급’ 채용,1.0
1426,"""위기일수록 인재 확보"" 삼성전자, 올해 석박사 1000명 채용한다",1.0
1427,삼성SDI “초격차 통해 새 50년 선도”,-1.0
1428,"삼성 '채용도 초격차'···석·박사급 인재만 1,000여명 뽑는다",1.0
1429,삼성 연말까지 석·박사 1000명 채용…이재용 '인재경영' 박차,1.0
1430,[단독]삼성 아산 LCD 라인 매각 착수…QD 전환 가속,-1.0
1431,"전자랜드, 카카오페이로 소형가전 구매 시 캐시백 증정",-1.0
1432,"삼성은 반도체, LG는 신가전 '선방'… 2분기 최악 피했다",0.0
1433,"[사설]삼성SDI 50주년, 기술기업으로 우뚝 서길",-1.0
1434,3代 걸친 투자 50년…'시대가 원하는 기술' 주도한 삼성SDI,1.0
1435,"삼성SDI ""배터리 초격차로 신화 이어간다""",-1.0
1436,"오너家 통큰 투자 결실...삼성SDI, 글로벌 배터리 강자로",1.0
1437,3代 걸친 투자·결단… 삼성SDI ‘글로벌 기업’ 우뚝,1.0
1438,"""50년 전에 소부장?"" 삼성 오너家 선견지명 결실 삼성SDI…도전과 혁신의 50년...",1.0
1439,"삼성전자, 석박사 인재 500명 더 뽑는다",1.0
1440,삼성전자 가상자산 이용자 피해 구제받는다,1.0
1441,삼성전자 상반기 박사급 인력 500여명 채용…이재용 부회장 '인재 중시' 철학,1.0
1442,척박한 토양서 오너家 과감한 투자…삼성SDI 세계신화 일궜다,1.0
1443,삼성디스플레이 ‘QD디스플레이 설비 반입’ 시작..사업전환 속도,-1.0
1444,QD 설비 반입...삼성디스플레이 사업전환 가속,-1.0
1445,"삼성디플, QD설비 첫 반입…내년 65인치 본격양산 돌입",-1.0
1446,"창립 50돌 맞은 삼성SDI..""초격차 기술로 100년 기업 만들자""",-1.0
1447,"“가격 내려 소비자 잡자”… 삼성·애플, 하반기 스마트폰 승부수",1.0
1448,"삼성전자, 8TB SSD 첫선",-1.0
1449,삼성 최대용량 SSD 글로벌 출시,-1.0
1450,프리미엄폰 시장 점유율 애플 이어 삼성 2위,1.0
1451,"삼성전자 경영진 ""법과 윤리 준수 기본 덕목""",1.0
1452,삼성전자 경영진 “법·윤리 준수는 기본 덕목”,1.0
1453,"삼성전자 경영진, 임직원들에게 하반기 메시지 “준법정신을 기본 가치로”",1.0
1454,"삼성, 업계 최대용량 4비트 SSD 글로벌 출시",-1.0
1455,"삼성전자, 업계 최대 용량 ‘4비트 SSD’ 글로벌 출시",-1.0
1456,"삼성, 업계 최대 용량 소비자용 4비트 SSD 선봬",-1.0
1457,코로나 반사이익 본 삼성전자·SK… 반도체 깜짝 실적,1.0
1458,마이크론 실적 서프라이즈… 삼성전자도 예상보다 좋을 듯,1.0
1459,"[단독]삼성전자, 코로나19 여파에 ‘IFA 2020’ 불참 결정",0.0
1460,"삼성전자, 유럽최대 가전전시회 IFA 참가 안하기로",0.0
1461,[단독]日 삼성전자에 줄소송…노림수는 '갤럭시·OLED',0.0
1462,"마이크론 ""하반기 수요 낙관"" 전망에…삼성전자·하이닉스 '방긋'",1.0
1463,"삼성전자, 마스크·진단키트…中企 2500곳에 스마트공장 이식",1.0
1464,"삼성전자-LG전자, 'C쇼크 탈출' 청신호",1.0
1465,"삼성, 내일부터 ‘QLED 보상판매 특별전’",-1.0
1466,삼성 스마트폰 공식 바뀌나…신제품·보급형 파상공세,-1.0
1467,"""최대 100만원 할인""… 삼성, 오늘부터 QLED 보상판매",-1.0
1468,홍콩수출 87%가 中으로 재수출…삼성전자 등 '中 직수출' 늘릴 듯,-1.0
1469,삼성전자 'QLED 보상판매 특별전'···최대 100만원 혜택,-1.0
1470,도 넘은 정치권 ‘삼성 때리기’…재계 “과도한 흔들기”,0.0
1471,[사진] “레고로 만들었어요” 삼성 반도체 라인,-1.0
1472,[사랑방] 삼성전자 ‘정진기언론문화상’ 대상,-1.0
1473,삼성·LG 20만원대 `가성비폰`,-1.0
1474,"삼성 수사심의위 보니 '반삼성' 인사도 다수…""일방논의 없었다""",0.0
1475,이재용 기소하면 삼성 위기? 2017년 구속 때 영업이익 늘었다,1.0
1476,"삼성 수사심의위원 과반이 법률가…""여론재판 아니었다""",0.0
1477,"삼성전자, 노키아 턱밑 추격...화웨이, 美제재에도 점유율 상승",1.0
1478,"삼성, 심의위 의견 무력화 압박에 위기감",0.0
1479,불안감 떨치지 못하는 삼성 “이게 끝이기를”,0.0
1480,"'삼성 옹호론자' 심의위원 지정 논란...검찰 ""랜덤 추첨, 외부변수 없다""",0.0
1481,"삼성, 에너지 효율 1등급 QLED TV 첫 출시",-1.0
1482,정진기언론문화상 대상에 삼성전자,1.0
1483,애플 뛰는데… ‘글로벌 M&A 경쟁’ 발목잡힌 삼성,0.0
1484,"""삼성 유리한 고지"" 이재용 불기소 권고, 긍정 평가 잇따라",1.0
1485,삼성반도체 라인 코로나에도 끄떡없는 이유,1.0
1486,레고로 보는 ‘클린룸의 비밀’… 삼성 반도체공장 내부 한눈에,-1.0
1487,삼성 ‘레고 블록 반도체 공장’ 영상,-1.0
1488,‘삼성 옹호’ 인물이 논의 주도…‘깜깜이 수사심의위’ 우려가 현실로,0.0
1489,[사설] ‘삼성 대변’ 교수까지 들어간 ‘깜깜이’ 수사심의위,0.0
1490,"""삼성 흔들기 지나쳐···수사심의위 10대3 결정 존중을""",0.0
1491,"삼성, 폴더블폰 2종 9월 중 출시",-1.0
1492,"이재용 ""이런 일도 있네요""···수사중단 권고, 삼성도 놀랐다",1.0
1493,"사무라이의 일격, 받아친 삼성…""韓 반도체 잠깼다""",1.0
1494,국민이 내린 판단은'무죄'… 이재용 '뉴삼성 경영' 탄력 받나,1.0
1495,"삼성전자, 블록체인 게임 지원 ‘위믹스 폰’ 출시",-1.0
1496,"""수사 중단..재판에 넘기지 마라""…이재용 `뉴 삼성` 속도 낼듯",1.0
1497,"삼성전자 ""스마트TV 콘텐츠로 한판 붙자"" LG전자",-1.0
1498,삼성·LG `직격탄`… 2분기 실적 `주의보`,0.0
1499,[ET시선]위기의 전자산업,0.0
1500,"삼성, '에너지 1등급' QLED TV 출시…""10% 환급받으세요""",-1.0
1501,"삼성전자, 에너지 소비효율 1등급 QLED TV 출시",-1.0
1502,"삼성전자, 에너지 소비효율 1등급 QLED TV 출시 [포토뉴스]",-1.0
1503,"삼성전자, 에너지 소비효율 1등급 QLED TV 출시…으뜸효율 환급 대상",-1.0
1504,"삼성전자, 에너지효율 1등급 QLED TV 첫선",-1.0
1505,"삼성, 에너지 소비효율 1등급 QLED TV 출시",-1.0
1506,"""불기소 권고 무시하라"" 일각 주장..재계 ""법앞의 평등서 삼성만 빼란 격""",0.0
1507,"재계 ""이재용 기소 강행은 헌법 부정""..검찰 손에 달린 삼성 미래",0.0
1508,"삼성 손 들어준 수사심의위… 궁지 몰린 檢, 기소 강행하나",0.0
1509,‘이재용 불기소’ 여론 이끈 삼성 판정승…검찰 부담 커졌다,0.0
1510,삼성 “수사 긴 터널 이제야 벗어나나” 기대,1.0
1511,검찰 `불기소` 결정 기대하지만…여전히 조심스러운 삼성,0.0
1512,삼성쪽 “불기소 수용을”…공식반응 자제,0.0
1513,"""이제 겨우 한고비 넘긴 것""…삼성 복합위기는 여전히 진행형",0.0
1514,삼성 “오너 경영자 부재 사태 막아 다행”,1.0
1515,한숨 돌린 삼성 “최악 피했다” 일단 안도,0.0
1516,삼성전자 해외 수주說에…5G 장비주 '껑충',1.0
1517,"""이재용 수사 중단하고 기소 말라""…삼성 손 들어준 수사심의위",1.0
1518,"압도적 과반수가 삼성 손들어줬는데···검찰, 무리한기소 강행땐 역풍 거셀...",0.0
1519,'잃어버린 10년' 기로 선 삼성…오늘 수사심의위 최대 분수령,0.0
1520,'1등급 건조기' 삼성·LG 또 붙었다,-1.0
1521,삼성·LG 이번엔 ‘1등급 건조기’ 전쟁,-1.0
1522,여름보너스 타볼까…‘중간배당’ 삼성전자·맥쿼리 시선집중,1.0
1523,구글·애플 '반도체 독립선언'···삼성엔 득일까 실일까,1.0
1524,삼성 ‘K칩 시대’ 도전 성과 나타나,1.0
1525,"협력사 8년 숙제 함께 해결, 삼성 ‘K칩 상생’ 속도낸다",1.0
1526,"삼성, 중소 협력사 지원 'K칩 시대' 연다",1.0
1527,"삼성전자, 중소 협력사 손잡고 ‘K칩 시대’ 연다",1.0
1528,"외신 “삼성의 미래, 사법 리스크에 좌우될 것”",0.0
1529,이재용·삼성 수사심의위 현안위원회 시작돼… 오후 7시 전후 결론 나올 듯(종...,0.0
1530,"삼성전자, AI·반도체 등 전방위 기술 혁신",1.0
1531,"삼성전자, 글로벌 TV시장 점유율 14년 연속 1위 外",1.0
1532,검찰 표적·과잉수사에 상처뿐인 삼성,0.0
1533,[취재수첩] 삼성의 반도체 복합위기는 '현재 진행형',0.0
1534,“코로나 대응에 기술을” 삼성 ‘10만 임직원’ 지혜 모았다,1.0
1535,'K칩 시대' 선봉장 된 삼성전자,1.0
1536,"삼성전자, 반도체 생태계 강화 박차… ""동반성장 통해 K칩시대 열것""",1.0
1537,"삼성전자, 삼각축으로 `K칩 시대` 연다",1.0
1538,"삼성전자-삼성전자 도움 받은 손세정제·마스크·고글 생산업체, 지역사회 기...",1.0
1539,"수사심의위 `운명의 날`… ""최대 고비"" 삼성 임직원 초긴장",0.0
1540,"삼성전자, 소비자 사용 습관에 맞춰 세탁·건조 척척",-1.0
1541,삼성전자 '반도체 팀코리아' 내실 다지기,1.0
1542,"'K칩 시대' 활짝… 삼성, 협력사와 부품·장비 국산화 확대",1.0
1543,"이재용 운명의 날…검찰 vs 삼성, 수사심의위서 정면 대결",0.0
1544,삼성-검찰 치열한 법리공방 예고.. 기소 권고 여부 이르면 26일 결정 [26일 수...,0.0
1545,"""삼바 수사는 실체없는 反시장·기업 수사"" 부당 여론 확산 [26일 수사심의위...",0.0
1546,[단독]‘밀어서 잠금해제’ 이제 못쓰나?...삼성·애플 동시에 특허소송,0.0
1547,"달라진 'K방역'위상…삼성, 그 뒤에 있었다",1.0
1548,"이재용의 `동행`비전..삼성, ""협력사 손잡고 `K칩 시대` 연다""",1.0
1549,"삼성, 반도체 생태계 확장…‘K칩 시대’ 이끈다",1.0
1550,"삼성전자, 협력사·대학·이웃과 'K칩 시대' 연다",1.0
1551,"“K칩 시대 열겠다” 삼성, 반도체 중소 협력사 지원 박차",1.0
1552,"삼성, 세계적 AI석학 세바스찬 승 영입",1.0
1553,삼성전자 미래 핵심 AI사업 육성 가속도,1.0
1554,"세계 최고 AI석학, 삼성 미래기술 연구조직 이끈다",1.0
1555,‘뉴 삼성’ 첫 ‘뉴 페이스’는 AI 석학 프린스턴大 교수,1.0
1556,삼성 '하만카돈' 명품 음질...LG 'PK7' 재생 효율성 두각,1.0
1557,"삼성 vs LG, 1등급 건조기 '격돌'",-1.0
1558,삼성·LG ‘에너지 1등급 건조기’ 경쟁,-1.0
1559,"삼성· LG, ‘에너지 효율 1등급’ 건조기 잇단 출시",-1.0
1560,코딩의 ‘코’자도 몰랐던 문과생까지… 삼성 ‘SW인재 육성’ 결실,1.0
1561,"[포토] 삼성·LG, 에너지효율 1등급 건조기 같은 날 출시",-1.0
1562,이번엔 '1등급 효율'로 맞붙었다…삼성·LG '못 말리는' 건조기 경쟁,-1.0
1563,검찰 수심위 개최 앞둔 삼성 팽팽한 긴장감,0.0
1564,"집콕·언택트 특수…삼성-LG, 게이밍 TV 경쟁 후끈",1.0
1565,"삼성전자·UNIST, 반도체 미세공정 한계 돌파 가능한 신소재 개발",1.0
1566,삼성 기술원 - 울산과기원 반도체 신소재 합성 성공,1.0
1567,"‘볼리’ 만든 세바스찬 승, 삼성 AI반도체 개발 이끈다",1.0
1568,`삼성물산 합병 부당하다 할 수 없다`던 사법부…檢이 뒤집을까,0.0
1569,삼성 49인치 게이밍 모니터 ‘오디세이 G9’ 내일 출시,-1.0
1570,삼성이 가르치면 대기업 입사도 척척···SW 아카데미 수료생 대거 취업,1.0
1571,`삼성 청년SW 아카데미` 2기 언택트 수료,1.0
1572,"이재용 복귀 후 가장 먼저 찾은 이 사람, 삼성 미래 맡았다",1.0
1573,이재용의 ‘AI 비전’ 공감한 세바스찬 승…삼성리서치 새 소장(종합),1.0
1574,"삼성전자, 압도적 화질·사운드 `현존 최고 TV`",-1.0
1575,[2020 상반기 인기상품]품질우수-삼성전자/무선청소기/'삼성제트',-1.0
1576,"삼성전자, 초강력 흡입으로 `미세먼지` 99.999% 차단",-1.0
1577,"삼성전자, 강력한 냉방에 청정기능… 기준을 높였다",-1.0
1578,[2020 상반기 인기상품]품질우수-삼성전자/세탁기·건조기/그랑데 AI,-1.0
1579,"외국인, 삼성그룹 4총사에 꽂혔다",1.0
1580,'뉴 삼성' 혁신 멈출라…수사심의위 앞두고 뒤숭숭한 삼성,0.0
1581,"삼성 '갤시리즈' 하반기 총출격...""스마트폰 반등 꾀한다""",-1.0
1582,"[단독]삼성전자, 국내 최초 17㎏ 건조기 출시…구입비 환급 '기대감'",-1.0
1583,"삼성 흑백TV가 공원 한복판에?…""추억이 방울방울""",-1.0
1584,증권가에서 들려온 반가운 소식…5만원 갇힌 삼성전자 오를까,1.0
1585,이재용의 `뉴 삼성` 첫 외부영입… 주인공은 AI권위자 `세바스찬 승`,1.0
1586,"이재용의 인공지능 승부수…세계적 뇌 과학자, 삼성 R&D 이끈다",1.0
1587,"“따라올 생각 하지 마”… 삼성전자, AI 초격차 전략 가속도",1.0
1588,AI 최고 석학 '세바스찬 승' 삼성리서치 소장 발탁···이재용 'AI 꿈' 영근...,1.0
1589,"삼성전자, AI 총책임자로 외부 전문가 영입",1.0
1590,이재용 상생의지 담은 `삼성 SW아카데미` 180명 조기취업 결실,1.0
1591,"애플, 인텔 반도체 동맹 청산… “삼성, 위기이자 기회”",1.0
1592,역대 최고 성능 게이밍 모니터…삼성 ‘오디세이 G9’ 25일 출시,-1.0
1593,이재용 ‘뉴삼성’ 선언 50일…현장경영으로 불확실성 뚫는다,1.0
1594,글로벌 TV시장 위축 속 삼성-LG 주도 프리미엄은 ‘쑥쑥’,0.0
1595,“자칫하면 도태” 쪼그려 앉은 이재용…삼성 생활가전사업부 방문,0.0
1596,‘삼성 불법 승계’·‘검-언 유착’…‘깜깜이 심의’에 맡겨지는 검찰 수사,0.0
1597,AI혁명 직접 챙기는 이재용의 ‘뉴 삼성 드라이브’,1.0
1598,삼성전자 R&D 컨트롤타워에 ‘AI 석학’ 세바스찬 승 교수,1.0
1599,AI 최고 석학이 삼성리서치 소장 맡는다,1.0
1600,[2020 상반기 인기상품]고객만족-삼성전자 '2020년형 무풍에어컨 갤러리',-1.0
1601,[2020 상반기 인기상품]고객만족-삼성전자 'QLED 8K',-1.0
1602,삼성도 SK도 공장 증설...몸푸는 반도체 장비株,1.0
1603,"삼성 ""자칫하면 도태""…가전사업 현장경영 속도",0.0
1604,"이재용 현장경영 잰걸음…""사업환경이 삼성 한계 시험하고 있다""",-1.0
1605,해외서도 ‘삼성전자 과외’ 효과… 폴란드 마스크 업체 생산 3배로,1.0
1606,"삼성, 폴란드 마스크업체에 스마트 공장",1.0
1607,삼성 사장단 '조용한 기부'… 잇달아 고액 기부자 클럽에,1.0
1608,"삼성전자, 세계적 학회서 AI 논문 11편 발표",1.0
1609,글로벌 TV시장 위축에도 삼성·LG `프리미엄` 성장세,1.0
1610,"“친근한 조력자”로 변신…삼성전자, IoT 플랫폼 전면 개편",1.0
1611,"삼성전자 ""AI·드론이 기지국·안테나 점검""",1.0
1612,"삼성전자, 드론·AI 활용 5G 네트워크 최적화 솔루션 공개",1.0
1613,"삼성, 기지국 안테나 최적화 솔루션 연말 출시",1.0
1614,글로벌 TV 시장 침체 뚫고 삼성 QLED 30% ↑,1.0
1615,[돋을새김] 누가 삼성의 발목을 잡나,0.0
1616,삼성 박학규-경계현 사장 아너 소사이어티 합류,1.0
1617,삼성→LG→SK… 정의선 동선에 ‘그린 뉴딜’ 답 있다,-1.0
1618,[사설] 현대차-엘지·삼성·SK ‘배터리 동맹’ 기대된다,1.0
1619,‘구글한테 세금 더 걷고 삼성한테 덜 걷나’ 디지털세 딜레마,0.0
1620,"삼성전자, 비스포크 '올 인덕션' 출시",-1.0
1621,"삼성전자, 비스포크 색상 입힌 ‘올 인덕션’",-1.0
1622,삼성의 조용한 선행…경영진 모두 '아너 회원',1.0
1623,이재용의 ‘동행’ 동참하는 삼성 경영진…1억 기부 ‘아너스클럽’ 행렬,1.0
1624,연초 승진 삼성 사장 9명 전원 '아너스클럽' 가입,1.0
1625,삼성 사장단 9명 잇단 아너스클럽 가입...'동행' 실천 취지,1.0
1626,"삼성 경영진, 릴레이 고액기부…'이재용의 동행경영' 실천",1.0
1627,"당신의 배터리가 되겠소, 삼성·LG·SK '현대차 모시기'",-1.0
1628,"전기차 '팀코리아'…정의선 주도 배터리 동맹, 삼성·LG·SK로 확장",1.0
1629,"삼성전자, 올 2분기 실적 연내 최저 예상…영업益 6조 턱걸이",0.0
1630,"삼성전자, AI 승부수, 美 등 5개국에 연구센터 [Renewal]",-1.0
1631,이재용 '나눔의 길' 삼성 경영진도 따라 걷다,1.0
1632,삼성 스마트폰이 토종OTT 홍보..삼성데일리에 웨이브·티빙 탑재,-1.0
1633,"삼성 갤S20· LG 벨벳, '웨이브·티빙' 심고 수출한다",-1.0
1634,'삼성 특강' 덕에...폴란드 마스크공장 생산량 3배↑,1.0
1635,"삼성, 해외서도 마스크 대란 `해결사`",1.0
1636,폴란드까지 웃게한 '삼성 마스크 과외',1.0
1637,"삼성전자, 스마트공장 지원 글로벌로 확대",1.0
1638,"삼성, 폴란드서 마스크 생산 지원… 日 생산량 3배↑",1.0
1639,삼성·LG DNA로 한라그룹 무장한다,1.0
1640,삼성전자 인재 영입한 한라그룹..건설 신사업 맡긴다,1.0
1641,"한라, 건설 신사업 추진…삼성전자 출신 우경호 박사 영입",1.0
1642,"한라그룹, '삼성맨' 태우고 신사업 드라이브",1.0
1643,현대車 끌고 삼성·SK·LG 밀고…미래차 '팀코리아' 탄력,1.0
1644,"현대車, 삼성이어 LG와 동맹 강화…`배터리 빅텐트` 시동",1.0
1645,삼성사장단 9명 `소리없이` 릴레이기부 동행,1.0
1646,삼성사장단 움직인 이재용式 선행..줄줄이 1억이상 고액 기부,1.0
1647,삼성사장단 릴레이 기부 ‘아너 소사이어티’ 가입,1.0
1648,삼성전자·화웨이 격돌에…에이스테크 `신바람`,1.0
1649,"'삼성 과외' 받은 외국기업, 마스크 생산 3배로",1.0
1650,삼성 스마트공장 지원 사업...해외로 첫 확대,1.0
1651,성능·디자인 개선한 삼성 ‘올 인덕션’ [포토뉴스],-1.0
1652,"삼성, 총수 공백시 133조 투자 차질",0.0
1653,글로벌 삼성에 '글로벌' 사라질 판…사법 리스크에 사업 차질 우려 커진다,0.0
1654,"삼성전자, 비스포크 색상 '올 인덕션' 신제품 출시",-1.0
1655,"삼성, 비스포크 스타일 `올 인덕션`",-1.0
1656,[위기의 삼성]가족 행사도 최소화…이재용 생일엔 부친 병문안 관측,0.0
1657,[위기의 삼성]1년 주춤하면 10년 놓치는 경쟁 속…사법 리스크에 발목,0.0
1658,[위기의 삼성]검찰 무리한 기소 땐 국부유출 우려도 제기,0.0
1659,"하나금융투자, 삼성전자·금융株 담아 고배당 수익 노려",-1.0
1660,[위기의 삼성]4년째 이어진 삼성 사법리스크…이번주 또 고비,0.0
1661,"삼성증권, 韓·美·中 대표 우량기업 1개씩 집중공략",-1.0
1662,세계 최초 반도체 ‘소프트 에러’ 테스트 상용 장비 만든다..韓 전자산업 기...,1.0
1663,"""스마트폰 소비심리 살려라""… 언택트 마케팅 늘리는 삼성·LG",0.0
1664,삼성전자·하나금융…중간배당 우량株 주목,-1.0
1665,"재계 ""삼성, 4년째 檢 수사로 경영 차질···기소땐 한국경제 초대형 악재""",0.0
1666,가혹한 경제위기 상황서 경영·사법 `멀티 리스크` 직면한 삼성,0.0
1667,"삼성, 수심위 앞두고 '초긴장'… ""기소땐 3년간 경영 불능"" [위기감 번지는 재...",0.0
1668,"이재용, 운명의 한주…경제계 ""기소 땐 삼성 경영마비""",0.0
1669,"[조영덕의 드러커와 대화]<12>삼성 vs 애플, 누가 살아남을까",-1.0
1670,"LG전자, 하반기 5G 라인업 보급형으로 확장",-1.0
1671,"삼성, 평택에 신규 반도체 팹 'P3' 건설…9월 착공",-1.0
1672,"한국경제 버팀목 '전자산업', 코로나19 직격탄…정부 지원 'SOS'",0.0
1673,[강병준의 어퍼컷]마패와 유척 그리고 삼성,0.0
1674,"삼성·하이닉스, 조단위 투자…반도체 장비 '낙수효과'",1.0
1675,D램 값도 심상치 않다…삼성 `복합위기` 먹구름,0.0
1676,현재의 대한민국 만든 산업 업적 1위…국민 64% '삼성의 반도체 진출' 꼽아,1.0
1677,"삼성전자, 코로나19 불구 베트남 휴대폰 생산량 '13억대' 신기록",1.0
1678,"삼성 갤럭시A '어썸'캠페인, 글로벌 비영리 광고제 수상",-1.0
1679,"삼성 갤럭시A `어썸` 캠페인, 영국 D&AD 광고제 수상",-1.0
1680,퀄컴·아마존 가세...삼성 'HDR10+' 글로벌 표준 되나,1.0
1681,"삼성, 고화질 영상기술 'HDR 10+' 회원사 100개 돌파",1.0
1682,"삼성전자 차세대 고화질 기술 HDR10+, 벌써 회원사 100개 돌파",1.0
1683,삼성 `스스로 화질조절 기술` 세계로 뻗는다,1.0
1684,"[이번주 추천주] ""전기차 변혁기 온다""···삼성SDI·LG화학 '찜'",1.0
1685,"""TSMC, 화웨이 없어도 6%↑""… 갈길 먼 삼성의 도전",0.0
1686,"닷새앞 삼성 수사심의위, 위원 14명이 심의···7대7 동수땐 부결",0.0
1687,"삼성 A시리즈 캠페인, 英 A&AD 광고제 수상",-1.0
1688,삼성전자 주도 차세대 화질 기술 'HDR10+' 회원사 100곳 돌파,1.0
1689,삼성 표준기술로 고화질 영상…'HDR10+' 회원사 100개 돌파,1.0
1690,"캐나다 3大 통신사 텔러스, 화웨이 버리고 삼성 택했다",1.0
1691,"삼성전자, 캐나다 통신사에 5G장비 공급",1.0
1692,"`反화웨이` 전선확대…삼성, 5G장비 기회 잡았다",1.0
1693,"실적 전망치 잇단 상향…삼성전자, 전고점 회복할까",1.0
1694,"""적정 현금흐름 창출한 반도체 기업, 삼성전자가 유일""",1.0
1695,삼성 연구소 간 이재용 “가혹한 위기상황”,0.0
1696,"이재용 삼성전자 부회장 ""지금은 가혹한 위기상황""",0.0
1697,“스마트 워치로 혈압 측정하세요” 삼성전자 앱 출시,-1.0
1698,삼성 스마트폰 출하량 17%↓… 글로벌 1위 ‘흔들’,0.0
1699,"삼성, 코로나 피해 급증하는 인도에 릴레이 기부",1.0
1700,화웨이 버린 캐나다...삼성 5G 장비 택했다,-1.0
1701,"'화웨이 제재' 효과…삼성, 또 5G 장비 계약",1.0
1702,"삼성, 화웨이 제치고 캐나다에 5G장비",1.0
1703,"캐나다 3대 이통사 ‘텔러스’에 삼성전자, 5G 통신 장비 공급",1.0
1704,"韓·日 TV가격 10년만에 첫 역전…삼성·LG, 日에 1위 뺏겼다",0.0
1705,삼성전자 5G 광폭 행보…캐나다 텔러스에 5G 장비 공급,1.0
1706,"현대차, 삼성·LG·SK와 ‘전기차 배터리 4륜 동맹’ 시동",1.0
1707,"반도체칩 설계, 삼성 플랫폼 들어와 해보세요",1.0
1708,"삼성전자, 중소 반도체 설계회사 돕는 플랫폼 제공",1.0
1709,"삼성, 중소업체 반도체 칩 설계 돕는다",1.0
1710,"삼성전자, 클라우드 설계 플랫폼 제공",1.0
1711,"[단독] 삼성그룹, 코로나 이후 첫 '고졸 채용'…연봉 얼마받나 보니",-1.0
1712,삼성전자 TV ‘QLED 8K’…압도적 화질에 혁신적 사운드…프리미엄 TV 시장 선...,-1.0
1713,"삼성전자, '삼성 그랑데 AI' 세탁기·건조기…새로운 라이프스타일을 이끌다",-1.0
1714,삼성전자 건조기 ‘그랑데AI’…소비자 사용 습관·패턴까지 스스로 학습 ‘맞...,-1.0
1715,"삼성전자, 시스템반도체 생태계 키운다",1.0
1716,"삼성, 국내 시스템 반도체 생태계 넓힌다",1.0
1717,"삼성전자, 중소 팹리스와 ‘상생’ 강화…클라우드 설계 플랫폼 지원",1.0
1718,"<현대차ㆍ삼성, 산업 생태계 경쟁력 강화 나서>파트너社 위해 플랫폼 개발",1.0
1719,삼성·화웨이·MS…폴더블폰 3분기 대격돌,-1.0
1720,파운드리 진격하는 삼성…TSMC 꺾을 '팹리스 군단' 키운다,1.0
1721,"국내 시스템반도체 자립 돕는 삼성, 팹리스 위한 ‘칩 설계 플랫폼’ 출시",1.0
1722,삼성전자 “클라우드 플랫폼에서 반도체 칩 설계 맘껏 하세요”,1.0
1723,"삼성전자 '중소 팹리스, 서버없이도 칩 설계' 도와",1.0
1724,"삼성, 반도체 생태계 강화… 중소 팹리스에 통합 설계 환경 제공",1.0
1725,삼성 겨누는 거대여당…이번엔 '삼성생명법',0.0
1726,"삼성전자, 중소 팹리스업체 가상 칩 설계환경 지원…""반도체 생태계 확장""",1.0
1727,마포 뒷골목 '물개카페' 프릳츠…삼성도 반한 까닭은,-1.0
1728,"삼성전자, 바람으로 미세먼지 없애는 '에어드레서'",-1.0
1729,"삼성전자, 제트 싸이클론 장착…미세먼지 완벽 차단",-1.0
1730,"[포토] ""7가지 색상 패널 맘대로""…삼성 `비스포크 식기세척기`",-1.0
1731,반도체도 상생…삼성전자 중소 팹리스 칩 설계 지원,1.0
1732,"삼성전자 ""식기세척기도 비스포크"" 7가지 색상 신제품 출시",-1.0
1733,세척력 `업` 삼성 비스포크 식기세척기,-1.0
1734,"“7色 패널 맘대로 바꾸세요”… 삼성전자, 식기세척기 선봬",-1.0
1735,"전자랜드, 6월 초 에어컨 판매량 전년 동기 대비 64% 증가",1.0
1736,‘이제는 가전을 나답게’ 삼성 새 슬로건 공개,-1.0
1737,삼성 가전 통합 슬로건 ‘이제는 가전을 나답게’,-1.0
1738,삼성전자 첫 가전 슬로건 ‘이제는 가전을 나답게’,-1.0
1739,"""혈압관리, 이젠 갤워치로""…삼성전자 앱 출시",-1.0
1740,"LG·삼성 의류관리기, 마스크 바이러스·세균 99.9% 제거",1.0
1741,"LG-삼성, 의류관리기 ‘마스크 살균’ 신경전",-1.0
1742,반도체 설계업체 상생 도우미로 나선 삼성전자,1.0
1743,갤럭시워치로 혈압 측정… 삼성 `손목위 주치의` 개발,1.0
