,헤드라인,레이블
950,한숨 돌린 삼성...'글로벌 초격차' 속도낸다,1
951,이재용 영장 기각...檢·삼성 법리공방 가열,0
952,"[사설] 이재용 구속영장 기각, 삼성 준법경영 강화 계기 삼길",0
953,"삼성 ""구속은 피했지만 여전히 엄중…중요한 경영 현안도 첩첩산중""",0
954,"삼성, 최악은 면했지만…4년째 이어진 사법리스크",0
955,"삼성 ""이재용 부회장이 합병 지시했다는 檢 주장, 상식 밖""",0
956,검 “범죄 중대성 있다”…삼성 “증거 인멸 가능성 희박”,0
957,[삼성의 위기]이재용 영장심사 8시간반 동안…임직원들 노심초사,0
959,'시총 44조' 삼성바이오로직스 기업가치 증명,1
960,"""안갯속 반도체시장·미중갈등…李 부재땐 삼성 의사결정 타격""",0
961,위기에도 133兆 투자 약속 지킨다는 `삼성`,0
962,C쇼크에 글로벌업체 매출 5% 감소… 삼성도 실적악화 불가피,0
963,[위기의 삼성]`구속 갈림길` 이재용 부회장 변호인단은 어벤져스급,0
964,삼성 등 韓 반도체 ‘사면초가’,0
965,"[사설] 초유의 위기, 삼성 총수 구속 사안 아니다",0
163,10년 뒤 미래산업 선점… 삼성전자 ‘6G 시대’ 연다,1
164,"삼성전자, 5G보다 50배 빠른 6G 시대 준비한다",1
165,"엘에스디테크, 삼성전자 차세대 핵심업무 시스템에 서버공급",1
166,"엘에스디테크, 삼성에 차세대서버 납품",1
167,이재용의 '통신 초격차'…6G 선점 나선 삼성,1
168,삼성전자 “차세대 6G로 초연결 미래 선점”,1
169,"삼성전자, 미래 먹거리로 6G 낙점 ""10년 내다보고 본격 기술 개발""",1
170,삼성전자가 여는 6G 시대…'새로운 차원의 초연결 경험',1
171,삶의 혁신적 변화 이끌 6G…선점 노리는 삼성전자,1
172,한 사람에겐 열가지 취향이 있다…삼성 家電 '0.1명'을 위한 기술,1
173,역대급 폭염 예보에… 삼성에어컨 판매 전년比 50% 증가,1
174,재난지원금으로 삼성·LG TV 샀다…북미시장 완판 행진,1
979,이재용 오늘 영장심사…삼성 “위기 극복 역할하게 도와달라”,0
980,[사설] 파렴치 정치인은 빠져나가고 삼성 총수는 구속 걱정하는 현실,0
981,[사설] 다시 총수 공백 위기에 내몰린 삼성,0
982,[사설] 경영권 공백 막아달라는 삼성의 애절한 대국민 호소,0
983,"""비상시기에 신경전 멈추자"" 삼성·LG 화해모드",1
984,"삼성, 코로나에'해외 교류 정책'흔들… 전략회의 등 취소·연기",0
985,"`3중악재`에 총수 공백 우려…삼성 ""경영정상화 길 열어달라""",0
64,"노태문 삼성전자 사장 ""갤럭시 신제품 5개, 모바일 경험의 혁신 제공할 것""",1
65,"내달 5일 '갤럭시 언팩' 여는 삼성전자.. 노태문 사장 ""폴더블폰 지속 선보일...",1
66,"노태문 삼성전자 사장 “5가지 갤럭시 신제품 공개""",1
67,삼성전자 기술 135건 中企에 무상 제공,1
68,"삼성, AI등 미활용 특허기술 135건 中企 78곳에 무상 양도",1
69,"삼성, 기술나눔 사업…中企에 특허 무상제공",1
70,"10년 연속 가전애프터서비스 1위… 삼성전자서비스, 능률협회 평가서",1
71,"[사설]삼성-현대차 협력, 결실 맺어야",1
